asr,degradation,snr_db,llm,outcome_col,n,outcome_median,outcome_lo,outcome_hi,absorption_median,absorption_lo,absorption_hi,retention_median,retention_lo,retention_hi,gain_paired_median,gain_paired_lo,gain_paired_hi,gain_ceiling_median,gain_ceiling_lo,gain_ceiling_hi,gain_legacy_median,gain_legacy_lo,gain_legacy_hi,gain_calibrated_median,gain_calibrated_lo,gain_calibrated_hi,gain_median,tsa_median,gain_crit_minus_func_median,gain_lo,tsa_lo,gain_crit_minus_func_lo,gain_hi,tsa_hi,gain_crit_minus_func_hi,calibration_a_median,calibration_a_lo,calibration_a_hi,calibration_b_median,calibration_b_lo,calibration_b_hi
parakeet-tdt-0.6b-v3,babble,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.31490384615384615,0.2692307692307692,0.3581730769230769,0.2222222222222222,0.1802194978092349,0.26836682808716705,0.32191981576468126,0.2629048484455118,0.38750412995594713,-0.10972166183230586,-0.16215794475324832,-0.05497692192105651,-0.10428883260861256,-0.15904617429930482,-0.04414103602752059,-0.2855139002191316,-0.3330919041178717,-0.23837659506462747,-0.08715541678177482,-0.17139074433751814,-0.010201173484662538,-0.10972166183230586,0.31490384615384615,-0.006806206269559162,-0.16215794475324832,0.2692307692307692,-0.11794568411097954,-0.05497692192105651,0.3581730769230769,0.10560245068950747,1.0618316328526611,0.7931256810481382,1.3319829965642478,-3.264917259786686,-4.5453416991781594,-2.1455356378164017
parakeet-tdt-0.6b-v3,babble,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.5793269230769231,0.53125,0.625,0.46906402526557567,0.4119822580645161,0.5284611155537784,0.7342657342657343,0.659860402494331,0.7985112190724231,0.0421579467837333,-0.023205190050776266,0.10448548578328,-0.01788875471059123,-0.0898134028845382,0.05071457394549386,-0.3255779163040344,-0.3829691071874263,-0.2671849590183013,-0.016043174643589175,-0.07658138996548104,0.04755246697006874,0.0421579467837333,0.5793269230769231,0.001022363014911043,-0.023205190050776266,0.53125,-0.1388528599425666,0.10448548578328,0.625,0.14208144842832288,1.057845574524598,0.8053729473231982,1.3205619807739188,-3.265305896155573,-4.591714309202131,-2.1613388835206067
parakeet-tdt-0.6b-v3,babble,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6177884615384616,0.5697115384615384,0.6634615384615384,0.5060984679458576,0.4433858821582258,0.5726505139500734,0.8416666666666667,0.7737072931362327,0.9018020470383274,0.12694771790775106,0.0660131714977559,0.17890425656537032,-0.002650763489577268,-0.07835919866018103,0.07367837194148162,-0.3235782835842933,-0.38542325624729523,-0.25942415673331404,-0.002150148772703142,-0.06385962339020972,0.06077678964278533,0.12694771790775106,0.6177884615384616,0.1362985745135204,0.0660131714977559,0.5697115384615384,0.021574054564885613,0.17890425656537032,0.6634615384615384,0.2601020146122154,1.055276496745186,0.7950631868066368,1.3453086789461874,-3.2908475252861145,-4.5953458551165465,-2.1650651428618177
parakeet-tdt-0.6b-v3,clean,,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6418269230769231,0.59375,0.6875,0.5078534031413613,0.43781094527363185,0.5763590781140041,,,,,,,-0.03587502089455569,-0.11641883604219884,0.04231657021686493,-0.3537374201876829,-0.4250870035280916,-0.2852051527588134,,,,,0.6418269230769231,,,0.59375,,,0.6875,,1.0534750689696994,0.789730142910607,1.343187767095555,-3.2878097873631726,-4.560274487712853,-2.139697561961982
parakeet-tdt-0.6b-v3,clipping,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.5841346153846154,0.5336538461538461,0.6322115384615384,0.45089285714285715,0.3862639136048013,0.5157125266485334,0.7407407407407407,0.6642322148382176,0.8137931034482758,0.056174964459156373,-0.012250344971245058,0.12073852844010187,-0.028972826906707272,-0.1013992339437637,0.04152182605149516,-0.3430579553096358,-0.40704802949999275,-0.2810404771930961,-0.010226974168554948,-0.076572189137049,0.05187288515020897,0.056174964459156373,0.5841346153846154,0.2211465100106107,-0.012250344971245058,0.5336538461538461,0.09244611018734887,0.12073852844010187,0.6322115384615384,0.3420524347836846,1.0545067981144318,0.806806340390639,1.337728404111814,-3.274537765609308,-4.538782008884066,-2.177579222455462
parakeet-tdt-0.6b-v3,clipping,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6298076923076923,0.5841346153846154,0.6754807692307693,0.5068493150684932,0.44185764280876044,0.5727710925748667,0.8888888888888888,0.8305004796929965,0.9434000304321364,0.15571373676589262,0.09620475249554526,0.21111182252169744,-0.016973762026219613,-0.09377422182916208,0.05769539959301384,-0.3362861942979736,-0.39908220617470386,-0.2702876967698113,0.0027660035073957534,-0.058056036604813184,0.06346950202980216,0.15571373676589262,0.6298076923076923,0.14120164621152104,0.09620475249554526,0.5841346153846154,0.02619714135063191,0.21111182252169744,0.6754807692307693,0.24586873885461286,1.0491284850097937,0.7975290617047895,1.3350214503027698,-3.2430454133929336,-4.57881474146722,-2.148206484830794
parakeet-tdt-0.6b-v3,clipping,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6418269230769231,0.59375,0.6875,0.5,0.4315762757146674,0.5665024630541872,0.9523809523809523,0.9056603773584906,0.9899015151515151,0.1945376942745362,0.14172339452327343,0.2407452348225628,-0.0507113342090697,-0.12639931377262734,0.027988450657408143,-0.35617647626347626,-0.42079623961626705,-0.29042046647871245,0.005112619605603275,-0.05824892214417532,0.06570891643560337,0.1945376942745362,0.6418269230769231,0.11912527858083766,0.14172339452327343,0.59375,0.04233478041474592,0.2407452348225628,0.6875,0.21105267508154818,1.051993576201063,0.7967981818238018,1.3367681398434923,-3.255869401553589,-4.634182047402066,-2.117834738792217
parakeet-tdt-0.6b-v3,codec,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6009615384615384,0.5528846153846154,0.6490384615384616,0.46956521739130436,0.40527815196417516,0.5339913918478046,0.7637795275590551,0.6861313868613139,0.8345864661654135,0.07568754848429426,0.007781684882804352,0.134467342983985,-0.03848322431431406,-0.11197737524136474,0.03623719924382288,-0.33694504414709836,-0.399808326546589,-0.2732664058483251,-0.0007251829370986118,-0.06306491455834035,0.06435163294360004,0.07568754848429426,0.6009615384615384,0.030703740768189602,0.007781684882804352,0.5528846153846154,-0.10498454496876773,0.134467342983985,0.6490384615384616,0.1646570900709847,1.0560856815399888,0.8047341189672402,1.3374612057227282,-3.2996769285697995,-4.555068721382907,-2.1669966295142897
parakeet-tdt-0.6b-v3,codec,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6394230769230769,0.59375,0.6850961538461539,0.4972526643118075,0.4237223279142165,0.5684210526315789,0.9215686274509803,0.8627450980392157,0.968421052631579,0.18440053177944354,0.1243939515072901,0.23711274005689142,-0.035509336518708495,-0.11530252440512137,0.04606329906935575,-0.35799333812770484,-0.43104167195475007,-0.28669023350733086,0.003453539194767874,-0.06200576395717579,0.06673206053095497,0.18440053177944354,0.6394230769230769,0.10178299593693269,0.1243939515072901,0.59375,-0.0022203897303255636,0.23711274005689142,0.6850961538461539,0.20331738491496326,1.0451923697986516,0.7942710930159089,1.3298053510240069,-3.268527736897504,-4.475150755413626,-2.0997304112528647
parakeet-tdt-0.6b-v3,codec,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,0.6538461538461539,0.6057692307692307,0.6947115384615384,0.5314009661835749,0.46190476190476193,0.5951219512195122,0.9716981132075472,0.9339622641509434,1.0,0.21855639691074658,0.1726411644186717,0.2599060848483732,-0.009843835729620332,-0.0869416690466273,0.06722683416868165,-0.3263298198132014,-0.3951828646468971,-0.2615722014495848,0.01407991799943159,-0.04831148738719726,0.07594033836980273,0.21855639691074658,0.6538461538461539,0.0987998927979547,0.1726411644186717,0.6057692307692307,0.03071802971935356,0.2599060848483732,0.6947115384615384,0.18222030766885758,1.0555304768118356,0.8134910517932148,1.3345360318810384,-3.2658654364318656,-4.598859818848366,-2.2044126049601958
