asr,degradation,snr_db,llm,outcome_col,n,outcome_median,outcome_lo,outcome_hi,absorption_median,absorption_lo,absorption_hi,retention_median,retention_lo,retention_hi,gain_paired_median,gain_paired_lo,gain_paired_hi,gain_ceiling_median,gain_ceiling_lo,gain_ceiling_hi,gain_legacy_median,gain_legacy_lo,gain_legacy_hi,gain_calibrated_median,gain_calibrated_lo,gain_calibrated_hi,gain_median,tsa_median,gain_crit_minus_func_median,gain_lo,tsa_lo,gain_crit_minus_func_lo,gain_hi,tsa_hi,gain_crit_minus_func_hi,calibration_a_median,calibration_a_lo,calibration_a_hi,calibration_b_median,calibration_b_lo,calibration_b_hi
parakeet-tdt-0.6b-v3,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.2980769230769231,0.25240384615384615,0.34375,0.21688443916511113,0.17478166996246822,0.26286085879438476,0.35,0.28175500690607735,0.41716402116402107,-0.05065073002492401,-0.10473960839314254,0.004119772990757254,-0.07838401311389383,-0.13680494615879668,-0.01888773410873785,-0.29170993318533955,-0.33647941753719834,-0.24626935893873303,-0.0615791238417962,-0.14326888085244785,0.008466419472931027,-0.05065073002492401,0.2980769230769231,0.025907731733450345,-0.10473960839314254,0.25240384615384615,-0.1002798909413132,0.004119772990757254,0.34375,0.15355360606143653,0.6554129958154431,0.4101469208590497,0.8988627783244841,-2.806216046138647,-3.9946569356469506,-1.7664707803902349
parakeet-tdt-0.6b-v3,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5192307692307693,0.47115384615384615,0.5673076923076923,0.42248062015503873,0.3621832197445908,0.4790913982351675,0.7368421052631579,0.6599772727272728,0.8088235294117647,0.0773764743453147,0.013439913264872738,0.14265443030157224,-0.015767391840330575,-0.08832480935271018,0.05973887510130198,-0.37254465611589344,-0.43496996841338986,-0.31337296648636936,-0.006936009435269508,-0.07386087284632573,0.05831216683280721,0.0773764743453147,0.5192307692307693,0.03680085740630601,0.013439913264872738,0.47115384615384615,-0.1261827180309315,0.14265443030157224,0.5673076923076923,0.1755449312401924,0.6523848456097399,0.4115476684965151,0.9026104392542788,-2.785337695303011,-3.9201446232800046,-1.7779263575916446
parakeet-tdt-0.6b-v3,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5408653846153846,0.49278846153846156,0.5865384615384616,0.42924528301886794,0.36625369500956356,0.49799382716049356,0.8296222991918192,0.7575439266615737,0.8981481481481481,0.13500481460353603,0.07807231141365743,0.1850843431853046,-0.02665651496942728,-0.10077149533714022,0.05190471526403307,-0.4001114920295523,-0.4626143828653226,-0.33396638685052393,-0.008263384917061689,-0.0724879442794173,0.05570359584342572,0.13500481460353603,0.5408653846153846,0.0737764549657276,0.07807231141365743,0.49278846153846156,-0.042320201811981525,0.1850843431853046,0.5865384615384616,0.18794250307294058,0.6567627907689659,0.4323028538042929,0.899227139286516,-2.810877294067708,-3.979777864457464,-1.7485184171556083
parakeet-tdt-0.6b-v3,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5673076923076923,0.5216346153846154,0.6153846153846154,0.44776119402985076,0.38264170851586704,0.5139022435897435,,,,,,,-0.034608210148917684,-0.1121979083706812,0.041941633097643705,-0.4142561512064483,-0.48066646162140786,-0.34846792053728,,,,,0.5673076923076923,,,0.5216346153846154,,,0.6153846153846154,,0.6534422085406628,0.4216293197606098,0.8995288955608383,-2.810364338886003,-3.9255024831138843,-1.8018000960291476
parakeet-tdt-0.6b-v3,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5240384615384616,0.47596153846153844,0.5721153846153846,0.40486817418781473,0.34347181282240236,0.4666666666666667,0.7419354838709677,0.6611570247933884,0.8181818181818182,0.06651314242909068,-0.0018339435418383617,0.12857972657840952,-0.027684701081863494,-0.10082141355537874,0.04492184655638311,-0.3897723588744586,-0.4516457220577494,-0.3291962244486286,-0.0017558733284342154,-0.06951498310137659,0.062228389735552066,0.06651314242909068,0.5240384615384616,0.1304004282203688,-0.0018339435418383617,0.47596153846153844,-0.012008241220833013,0.12857972657840952,0.5721153846153846,0.2618765184083712,0.649951389833582,0.41971714453666303,0.8967734636875414,-2.7885833136924774,-4.021072486380437,-1.7810607197404182
parakeet-tdt-0.6b-v3,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5625,0.5168269230769231,0.6105769230769231,0.45494528863627576,0.3881842090052598,0.5207373271889401,0.9158878504672897,0.8571106821106821,0.963302752293578,0.18901281596559671,0.13240346758758095,0.23729504260319922,-0.013183482452426704,-0.09262822524991934,0.06696760545347881,-0.38747170366239325,-0.4556192940739098,-0.3194989305480629,0.007720818656787254,-0.05777004231622685,0.07193637482583695,0.18901281596559671,0.5625,0.03610958272833137,0.13240346758758095,0.5168269230769231,-0.08329659609377822,0.23729504260319922,0.6105769230769231,0.15488489444899714,0.6515048781722454,0.41361198137872834,0.9000991545799741,-2.794914212167344,-3.956893684360539,-1.7327865437629197
parakeet-tdt-0.6b-v3,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5649038461538461,0.5168269230769231,0.6129807692307693,0.44050428358898064,0.3736754385964912,0.5092636268343815,0.96875,0.9259259259259259,1.0,0.2178141979250789,0.17271726061698667,0.2576571756094783,-0.042027038677396655,-0.1199616352319359,0.039164574792956285,-0.41431162313917935,-0.4835861418458179,-0.3443503825696082,0.0022167025650137173,-0.06314169843072787,0.06350526656962534,0.2178141979250789,0.5649038461538461,0.07845007961563383,0.17271726061698667,0.5168269230769231,0.004825563464888225,0.2576571756094783,0.6129807692307693,0.15686797871363226,0.6539251601545215,0.41070768309634165,0.9030475556285842,-2.803283180878922,-4.036667707981404,-1.799702563139897
parakeet-tdt-0.6b-v3,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5408653846153846,0.4951923076923077,0.5865384615384616,0.441426994058573,0.3826052312489174,0.5043478260869565,0.7899159663865546,0.7168141592920354,0.8598177570093457,0.13084423108559023,0.06933835117346712,0.18944197906030597,0.00285682195709952,-0.07036267099872408,0.08281475359375497,-0.36408586064303033,-0.42616916752526796,-0.3007730638623806,0.007719770460799802,-0.05542753010105402,0.07032268345125685,0.13084423108559023,0.5408653846153846,0.03215573993142401,0.06933835117346712,0.4951923076923077,-0.11400997299367827,0.18944197906030597,0.5865384615384616,0.1605979744482006,0.6580271876266767,0.4180956845620057,0.9090065613186633,-2.8004439988596945,-4.026014610052019,-1.8091096486346336
parakeet-tdt-0.6b-v3,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5721153846153846,0.5216346153846154,0.6201923076923077,0.4461538461538462,0.37566137566137564,0.5161526357199054,0.946236559139785,0.8924731182795699,0.9880952380952381,0.20535132511029625,0.16049246303278547,0.24403934015704604,-0.02864658177146656,-0.10824029159493903,0.05335370219181877,-0.4075846869143944,-0.47825496002704615,-0.3367665195754171,0.009183924680227551,-0.06087258086540068,0.07473442155899364,0.20535132511029625,0.5721153846153846,0.0959159240214863,0.16049246303278547,0.5216346153846154,0.022307704617255536,0.24403934015704604,0.6201923076923077,0.17646590878781784,0.6538165348357242,0.40693998731575065,0.9022983255902552,-2.800578374231342,-3.94574337096425,-1.7701424746143066
parakeet-tdt-0.6b-v3,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5600961538461539,0.5120192307692307,0.6057692307692307,0.43523316062176165,0.36786242994607166,0.504950495049505,0.946236559139785,0.8904109589041096,0.9887640449438202,0.2010762647657618,0.15174607959183975,0.2444060043254323,-0.04079577540613466,-0.11890469951475312,0.04226825540703398,-0.42340718642894626,-0.4891997458218721,-0.3527585251582024,-0.005664917069413522,-0.07143395811771733,0.06077978488537248,0.2010762647657618,0.5600961538461539,0.0920572416094323,0.15174607959183975,0.5120192307692307,0.00363581164510414,0.2444060043254323,0.6057692307692307,0.1794183651963257,0.6568025383301979,0.4098689143557317,0.9083084242191595,-2.7885144684684864,-3.977591307029401,-1.841496001972609
