asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered,n_calibrated,mean_observed,mean_predicted,gain_calibrated,share_at_high_wer,n_clean_at_high_wer,refused
whisper-base-mlx,clipping,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,312,104,17,0.3413147519516778,0.2857142857142857,0.4550863359355711,0.4326923076923077,0.7307692307692307,0.3333333333333333,0.6586852480483222,0.39820613912400576,-0.32535191471498887,-0.06487280579067245,126,0,0.3661776797511353,0.7142857142857143,0.6338223202488646,0.08046339403684966,False,416,0.4326923076923077,0.4371561962462487,-0.004463888553940976,0.12740384615384615,31,
whisper-base-mlx,clipping,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,297,119,9,0.2932530161538368,0.25,0.41075169939392703,0.4807692307692308,0.7478991596638656,0.37373737373737376,0.7067469838461632,0.4406983088566428,-0.33300961010878943,-0.06696093511926904,113,0,0.2967374499022626,0.8849557522123894,0.7032625500977374,0.181693202114652,False,416,0.4807692307692308,0.4699671500634311,0.010802080705799688,0.07211538461538461,31,
whisper-base-mlx,codec,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,338,78,20,0.38747811681443556,0.3333333333333333,0.47689614377161327,0.4110576923076923,0.717948717948718,0.34023668639053256,0.6125218831855644,0.3755617429332007,-0.2722851967950319,-0.035325056542668154,146,0,0.4054763980394309,0.7054794520547946,0.5945236019605691,0.11095585009422548,False,416,0.4110576923076923,0.40494013082453867,0.006117561483153622,0.1466346153846154,31,
whisper-base-mlx,codec,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,304,112,8,0.2991094136763119,0.25,0.4093076187149538,0.47836538461538464,0.7142857142857143,0.39144736842105265,0.7008905863236881,0.4219231294893187,-0.3094432179026354,-0.03047576106826605,122,0,0.3136497664786502,0.8770491803278688,0.6863502335213498,0.190698946806519,False,416,0.47836538461538464,0.46575258836525923,0.012612796250125402,0.07932692307692307,31,
whisper-base-mlx,codec,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,291,125,5,0.2828850841000309,0.2222222222222222,0.40439929548320636,0.4807692307692308,0.696,0.38831615120274915,0.7171149158999691,0.4145380903436884,-0.32879876469721997,-0.026221939140939232,115,0,0.29384203336484926,0.8956521739130435,0.7061579666351507,0.1894942072778928,False,416,0.4807692307692308,0.478101438166648,0.0026677926025827636,0.07451923076923077,31,
whisper-base-mlx,farfield,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,311,105,15,0.32481262241296227,0.25,0.4344760479864709,0.43990384615384615,0.6857142857142857,0.35691318327974275,0.6751873775870377,0.38778785280927713,-0.318274194307295,-0.030874669529534382,131,0,0.33775443685843565,0.7709923664122137,0.6622455631415644,0.10874680327064934,False,416,0.43990384615384615,0.44832223650960024,-0.00841839035575409,0.11298076923076923,31,
whisper-base-mlx,farfield,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,298,118,15,0.2991874129536183,0.25,0.41765759660639384,0.47115384615384615,0.7288135593220338,0.3691275167785235,0.7008125870463817,0.4244190397614418,-0.3316850702678582,-0.055291522982918284,117,0,0.3327521657233095,0.8461538461538461,0.6672478342766905,0.1789060118771556,False,416,0.47115384615384615,0.4666716243408017,0.004482221813044418,0.08413461538461539,31,
whisper-base-mlx,farfield,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,290,126,9,0.28864171925252285,0.2222222222222222,0.4140515696863784,0.47115384615384615,0.7301587301587301,0.3586206896551724,0.7113582807474772,0.42783536181629506,-0.3527375910923048,-0.06921467216112265,109,0,0.3146509133447099,0.8990825688073395,0.68534908665529,0.21373348215204946,False,416,0.47115384615384615,0.47452937780412346,-0.003375531650277319,0.07932692307692307,31,
whisper-base-mlx,noise,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,400,16,84,0.7527001094839044,0.8944444444444444,0.7828081138632607,0.0985576923076923,0.5,0.0825,0.24729989051609558,0.10859594306836967,-0.16479989051609556,-0.026095943068369667,191,0,0.7352374732340855,0.1518324607329843,0.2647625267659145,-0.11293006603293021,False,416,0.0985576923076923,0.1796903249784985,-0.08113263267080618,0.6009615384615384,31,
whisper-base-mlx,noise,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,346,70,47,0.46946955868629914,0.42857142857142855,0.5644489491719669,0.31490384615384615,0.6571428571428571,0.24566473988439305,0.5305304413137009,0.2862192619727075,-0.2848657014293078,-0.04055452208831442,156,0,0.49361919062740695,0.4807692307692308,0.506380809372593,-0.025611578603362217,False,416,0.31490384615384615,0.3511874246624125,-0.03628357850856634,0.23317307692307693,31,
whisper-base-mlx,noise,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,316,100,12,0.34426497283139107,0.2857142857142857,0.4532095844868949,0.42788461538461536,0.73,0.3322784810126582,0.6557350271686089,0.3991570033245668,-0.32345654615595065,-0.06687852231190855,129,0,0.3653796179886971,0.6976744186046512,0.6346203820113029,0.0630540365933483,False,416,0.42788461538461536,0.43670351473579455,-0.008818899351179188,0.12980769230769232,31,
whisper-base-mlx,reverb,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,412,4,124,0.7930506173525342,1.0,0.8007501379093555,0.0625,0.75,0.055825242718446605,0.20694938264746576,0.1494373965679834,-0.15112413992901916,-0.0936121538495368,195,0,0.7687559299740768,0.09743589743589744,0.23124407002592318,-0.13380817259002575,False,416,0.0625,0.14998921840033558,-0.08748921840033558,0.6153846153846154,31,
whisper-base-mlx,reverb,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,416,372,44,44,0.529745650328955,0.5,0.5924037380022722,0.24278846153846154,0.7272727272727273,0.18548387096774194,0.47025434967104496,0.29643364508925657,-0.284770478703303,-0.11094977412151463,167,0,0.5310845754100886,0.3473053892215569,0.4689154245899114,-0.12161003536835452,False,416,0.24278846153846154,0.30996043010942337,-0.06717196857096183,0.2956730769230769,31,
