asr,degradation,snr_db,llm,n,n_tsa,n_with_asr_error,n_collapse,mean_wer,median_wer,mean_tsa,naive_baseline,absorption_rate,absorption_gain
whisper-base-mlx,noise,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,346,47,0.46946955868629936,0.42857142857142855,0.44471153846153844,0.5305304413137006,0.37572254335260113,-0.1548078979610995
whisper-base-mlx,noise,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,316,12,0.3442649728313913,0.2857142857142857,0.5817307692307693,0.6557350271686087,0.509493670886076,-0.14624135628253265
whisper-base-mlx,reverb,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,412,124,0.7930506173525347,1.0,0.14423076923076922,0.20694938264746532,0.1383495145631068,-0.06859986808435853
whisper-base-mlx,reverb,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,372,44,0.5297456503289549,0.5,0.37259615384615385,0.47025434967104507,0.32526881720430106,-0.144985532466744
whisper-base-mlx,reverb,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,318,16,0.36069672519115464,0.3,0.5769230769230769,0.6393032748088454,0.5031446540880503,-0.1361586207207951
whisper-large-v3-turbo,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,360,49,0.517983129693135,0.5,0.39903846153846156,0.482016870306865,0.33611111111111114,-0.14590575919575388
whisper-large-v3-turbo,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,256,10,0.22906075862834555,0.14285714285714285,0.6442307692307693,0.7709392413716545,0.5390625,-0.23187674137165448
whisper-large-v3-turbo,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,241,6,0.19698283275660342,0.125,0.7043269230769231,0.8030171672433966,0.6099585062240664,-0.1930586610193301
whisper-large-v3-turbo,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,225,4,0.17432395117344296,0.1,0.7307692307692307,0.8256760488265571,0.6533333333333333,-0.17234271549322377
whisper-large-v3-turbo,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,264,5,0.22961141642626454,0.16666666666666666,0.6370192307692307,0.7703885835737354,0.5378787878787878,-0.23250979569494756
whisper-large-v3-turbo,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,234,4,0.18857568266216546,0.1111111111111111,0.7067307692307693,0.8114243173378346,0.6153846153846154,-0.19603970195321918
whisper-large-v3-turbo,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,220,2,0.1644851364562345,0.09090909090909091,0.7307692307692307,0.8355148635437655,0.6590909090909091,-0.1764239544528564
whisper-large-v3-turbo,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,256,4,0.22166084669684866,0.14285714285714285,0.6706730769230769,0.7783391533031514,0.60546875,-0.1728704033031514
whisper-large-v3-turbo,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,226,5,0.18348353255799607,0.1111111111111111,0.71875,0.8165164674420039,0.6283185840707964,-0.18819788337120746
whisper-large-v3-turbo,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,223,4,0.17270759210516082,0.1,0.7331730769230769,0.8272924078948392,0.6547085201793722,-0.17258388771546695
whisper-large-v3-turbo,farfield,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,241,5,0.1936549385902098,0.125,0.6971153846153846,0.8063450614097902,0.6224066390041494,-0.18393842240564084
whisper-large-v3-turbo,farfield,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,230,5,0.17829653441285306,0.1111111111111111,0.7139423076923077,0.8217034655871469,0.6391304347826087,-0.18257303080453824
whisper-large-v3-turbo,farfield,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,223,4,0.1676610470840682,0.1,0.7355769230769231,0.8323389529159317,0.6681614349775785,-0.16417751793835322
whisper-large-v3-turbo,noise,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,369,53,0.5197455678293748,0.5,0.3942307692307692,0.48025443217062525,0.33062330623306235,-0.1496311259375629
whisper-large-v3-turbo,noise,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,295,8,0.28318525213209983,0.2,0.6201923076923077,0.7168147478679001,0.5457627118644067,-0.1710520360034934
whisper-large-v3-turbo,noise,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,252,4,0.20454197366910967,0.14285714285714285,0.6971153846153846,0.7954580263308904,0.6031746031746031,-0.19228342315628721
whisper-large-v3-turbo,reverb,0,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,357,31,0.46708123187921247,0.42857142857142855,0.4254807692307692,0.5329187681207875,0.3697478991596639,-0.16317086896112365
whisper-large-v3-turbo,reverb,10,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,281,15,0.27245687754979414,0.2,0.6129807692307693,0.7275431224502058,0.5160142348754448,-0.21152888757476096
whisper-large-v3-turbo,reverb,20,mlx-community/Qwen3.5-9B-MLX-8bit,416,416,242,6,0.19628363211749897,0.125,0.7091346153846154,0.803716367882501,0.6322314049586777,-0.17148496292382331
