asr,degradation,snr_db,llm,outcome_col,n,outcome_median,outcome_lo,outcome_hi,absorption_median,absorption_lo,absorption_hi,retention_median,retention_lo,retention_hi,gain_paired_median,gain_paired_lo,gain_paired_hi,gain_ceiling_median,gain_ceiling_lo,gain_ceiling_hi,gain_legacy_median,gain_legacy_lo,gain_legacy_hi,gain_median,tsa_median,gain_crit_minus_func_median,gain_lo,tsa_lo,gain_crit_minus_func_lo,gain_hi,tsa_hi,gain_crit_minus_func_hi
parakeet-tdt-0.6b-v3,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.31887755102040816,0.27341217538822915,0.36923076923076925,0.23538406188163338,0.19076190476190477,0.2861736334405145,0.3855421686746988,0.31514565544952283,0.46285978835978836,-0.05583852788229948,-0.1154754628850797,0.007284014707811686,-0.08387423006062639,-0.1498981750480606,-0.018306990714241408,-0.2735024277380409,-0.3216783774129851,-0.22274253542733155,-0.05583852788229948,0.31887755102040816,0.0282616362804482,-0.1154754628850797,0.27341217538822915,-0.09409397543021066,0.007284014707811686,0.36923076923076925,0.15439133156366397
parakeet-tdt-0.6b-v3,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5242718446601942,0.4765257648953301,0.5714285714285714,0.4297872340425532,0.367758053634677,0.4915272041019798,0.7477477477477478,0.6692898243488795,0.8235411764705881,0.07738821949761454,0.013134983478199561,0.13791004003829943,-0.014152646169819844,-0.09338200685441368,0.059383444759627174,-0.36559434630142107,-0.43096724480008025,-0.3063720121520581,0.07738821949761454,0.5242718446601942,0.03487916773085403,0.013134983478199561,0.4765257648953301,-0.11539477880240978,0.13791004003829943,0.5714285714285714,0.18055974171605813
parakeet-tdt-0.6b-v3,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.551219512195122,0.5036674816625917,0.6,0.4459166959166959,0.37799043062200954,0.5113201094391244,0.8679245283018868,0.8,0.9263397129186601,0.14089861972426448,0.08248445662343155,0.1918472052885536,-0.025971736235895826,-0.10806452159368486,0.052734283122381105,-0.3835574672244973,-0.45192379598005655,-0.31651489447217585,0.14089861972426448,0.551219512195122,0.07284833600930646,0.08248445662343155,0.5036674816625917,-0.039148340311417514,0.1918472052885536,0.6,0.18654566956795207
parakeet-tdt-0.6b-v3,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5700483091787439,0.5253012048192771,0.6174334140435835,0.45308183701657456,0.38190954773869346,0.5200050505050505,,,,,,,-0.03606163427922962,-0.11585392853166653,0.04318214818201334,-0.40963019746509105,-0.48009752125929545,-0.3424112930159273,,0.5700483091787439,,,0.5253012048192771,,,0.6174334140435835,
parakeet-tdt-0.6b-v3,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5289855072463768,0.48058252427184467,0.5777050409845744,0.4092827004219409,0.34598760548523205,0.47436046511627905,0.7559055118110236,0.6717071150799366,0.8283022533022532,0.06851614355930974,-0.00031462378560588865,0.13062252136265276,-0.029253110624554768,-0.10498698618238338,0.042390367994533405,-0.3841700802155691,-0.448030238581577,-0.3206253132512629,0.06851614355930974,0.5289855072463768,0.12972626095865547,-0.00031462378560588865,0.48058252427184467,-0.006572620657289268,0.13062252136265276,0.5777050409845744,0.2627356766808999
parakeet-tdt-0.6b-v3,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5655339805825242,0.5194151306223911,0.6120481927710844,0.4611872146118721,0.3939393939393939,0.5250034916201117,0.9238095238095239,0.8659591103903626,0.9711538461538461,0.18983779760690184,0.1315809407841909,0.23965658743411775,-0.011509159348897069,-0.09122208497527479,0.06918945066079364,-0.38074081771102286,-0.44888375293553484,-0.3173816136884958,0.18983779760690184,0.5655339805825242,0.03742000332198969,0.1315809407841909,0.5194151306223911,-0.08983366100206364,0.23965658743411775,0.6120481927710844,0.1475957746520702
parakeet-tdt-0.6b-v3,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5696821515892421,0.5206812652068127,0.616504854368932,0.4497354497354497,0.38306967466813396,0.517948717948718,0.978494623655914,0.9411764705882353,1.0,0.21989312513072312,0.17090891994803267,0.2610321254485062,-0.04184674628006824,-0.12710988731133843,0.0457023386145907,-0.4053474403852003,-0.47613857007453697,-0.3373177065394447,0.21989312513072312,0.5696821515892421,0.07592989275597845,0.17090891994803267,0.5206812652068127,0.007164894963337576,0.2610321254485062,0.616504854368932,0.15926406847911426
parakeet-tdt-0.6b-v3,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5408653846153846,0.4951923076923077,0.5893967173039985,0.44397445986550294,0.37898556852133714,0.5083386752136752,0.7964601769911505,0.7179389312977099,0.8679245283018868,0.131824093178537,0.06279479208111494,0.19209648024091783,0.0027514965879273656,-0.0756480515091331,0.0809076776077106,-0.3615101172100172,-0.4307553889227712,-0.29671487846382266,0.131824093178537,0.5408653846153846,0.031902511984056636,0.06279479208111494,0.4951923076923077,-0.10942513589819061,0.19209648024091783,0.5893967173039985,0.1528188720470015
parakeet-tdt-0.6b-v3,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5776699029126213,0.5314009661835749,0.625924288461082,0.45555555555555555,0.38376365727429557,0.5260115606936416,0.967032967032967,0.9222222222222223,1.0,0.20980851077025237,0.16191124178083158,0.24932346044557577,-0.02816792062931603,-0.10940069598762292,0.056391783195760846,-0.3986812403853801,-0.4706420244481353,-0.32879378906228246,0.20980851077025237,0.5776699029126213,0.09456488224991266,0.16191124178083158,0.5314009661835749,0.0192284802388969,0.24932346044557577,0.625924288461082,0.17567505055175975
parakeet-tdt-0.6b-v3,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5628019323671497,0.5156626506024097,0.6096518276495814,0.4387755102040816,0.3724199333198626,0.5058480304884831,0.946236559139785,0.8941051314142678,0.9866666666666667,0.20061668267506633,0.15027755938779783,0.24344511974649097,-0.04232293083650018,-0.12121645995203924,0.04077736343272103,-0.41906522633949583,-0.4887894450044642,-0.3512414503376437,0.20061668267506633,0.5628019323671497,0.08792119464884746,0.15027755938779783,0.5156626506024097,0.004226079511710138,0.24344511974649097,0.6096518276495814,0.17795826218943134
