asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered
parakeet-tdt-0.6b-v3,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,389,322,67,12,0.49140020832611325,0.46153846153846156,0.5510015113778358,0.31876606683804626,0.7164179104477612,0.2360248447204969,0.5085997916738867,0.3216705590128937,-0.2725749469533898,-0.08564571429239681,173,0,0.5571777933049612,0.3872832369942196,0.4428222066950388,-0.055538969700819174,False
parakeet-tdt-0.6b-v3,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,412,245,167,4,0.20525988128988829,0.125,0.3321963698636474,0.5242718446601942,0.6646706586826348,0.42857142857142855,0.7947401187101117,0.44386947871338406,-0.3661686901386832,-0.01529805014195551,127,0,0.32955213847256953,0.7480314960629921,0.6704478615274305,0.07758363453556161,False
parakeet-tdt-0.6b-v3,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,408,215,193,0,0.17031296125788473,0.1,0.2923264738757218,0.5514705882352942,0.6683937823834197,0.44651162790697674,0.8296870387421152,0.4730045848188181,-0.3831754108351385,-0.026492956911841337,106,0,0.27206047359349234,0.8679245283018868,0.7279395264065076,0.1399850018953792,False
parakeet-tdt-0.6b-v3,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,414,197,217,0,0.13803166057971875,0.0,0.28132574010742717,0.5700483091787439,0.6774193548387096,0.4517766497461929,0.8619683394202813,0.4868438534756138,-0.41019168967408837,-0.035067203729420904,0,0,,,,,True
parakeet-tdt-0.6b-v3,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,412,231,181,1,0.2055457339606093,0.125,0.3528442654875049,0.529126213592233,0.6795580110497238,0.41125541125541126,0.7944542660393907,0.43977986378473427,-0.38319885478397947,-0.028524452529323008,118,0,0.3130646189968224,0.7542372881355932,0.6869353810031775,0.06730190713241568,False
parakeet-tdt-0.6b-v3,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,414,211,203,2,0.1577827572977086,0.07692307692307693,0.30160012813197584,0.5652173913043478,0.6748768472906403,0.4597156398104265,0.8422172427022914,0.47133390367447936,-0.38250160289186486,-0.011618263864052847,103,0,0.2665129269753694,0.9223300970873787,0.7334870730246306,0.1888430240627481,False
parakeet-tdt-0.6b-v3,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,412,200,212,0,0.1446443765812029,0.0,0.28086030328890277,0.5703883495145631,0.6839622641509434,0.45,0.8553556234187971,0.49186441520334484,-0.4053556234187971,-0.04186441520334483,91,0,0.24109209263199996,0.978021978021978,0.7589079073680001,0.21911407065397792,False
parakeet-tdt-0.6b-v3,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,415,234,181,0,0.19411587442377862,0.1111111111111111,0.3408213835909916,0.5421686746987951,0.6685082872928176,0.4444444444444444,0.8058841255762214,0.44066636787563535,-0.36143968113177694,0.0037780765688090745,118,0,0.33425845576269303,0.7966101694915254,0.6657415442373069,0.1308686252542185,False
parakeet-tdt-0.6b-v3,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,412,193,219,0,0.14553418345764724,0.0,0.2929648721159656,0.5776699029126213,0.684931506849315,0.45595854922279794,0.8544658165423528,0.4842706355370098,-0.3985072673195548,-0.028312086314211837,87,0,0.24272565338808524,0.9655172413793104,0.7572743466119147,0.20824289476739566,False
parakeet-tdt-0.6b-v3,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,414,198,216,0,0.14193328411222533,0.0,0.2881022534883126,0.5628019323671497,0.6759259259259259,0.4393939393939394,0.8580667158877746,0.4811901434754924,-0.4186727764938352,-0.04179620408155299,90,0,0.25582520143923637,0.9444444444444444,0.7441747985607636,0.2002696458836808,False
