asr,degradation,snr_db,llm,outcome_col,n,outcome_median,outcome_lo,outcome_hi,absorption_median,absorption_lo,absorption_hi,retention_median,retention_lo,retention_hi,gain_paired_median,gain_paired_lo,gain_paired_hi,gain_ceiling_median,gain_ceiling_lo,gain_ceiling_hi,gain_legacy_median,gain_legacy_lo,gain_legacy_hi,gain_calibrated_median,gain_calibrated_lo,gain_calibrated_hi,gain_median,tsa_median,gain_crit_minus_func_median,gain_lo,tsa_lo,gain_crit_minus_func_lo,gain_hi,tsa_hi,gain_crit_minus_func_hi,calibration_a_median,calibration_a_lo,calibration_a_hi,calibration_b_median,calibration_b_lo,calibration_b_hi
parakeet-tdt-0.6b-v3,babble,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.2668269230769231,0.22355769230769232,0.30775240384615354,0.1826086956521739,0.14284696784696785,0.2254335260115607,0.30158730158730157,0.23684210526315788,0.3678892827924733,-0.14956605638300058,-0.21144974195838642,-0.09054749574766578,-0.1085729246951725,-0.1650010628709929,-0.04784341741286973,-0.32520512768127063,-0.370358035597656,-0.27920432897717434,-0.08517424765777637,-0.16143163841264027,-0.015323008744126319,-0.14956605638300058,0.2668269230769231,-0.023954130723686268,-0.21144974195838642,0.22355769230769232,-0.14055373309130004,-0.09054749574766578,0.30775240384615354,0.10010574731860282,0.7735401861421736,0.5206233799986062,1.0297183595469304,-3.2236892588121604,-4.441436678588334,-2.1946527048813858
parakeet-tdt-0.6b-v3,babble,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5288461538461539,0.4807692307692308,0.5769230769230769,0.41344396823814744,0.35390788224121555,0.4754134790528233,0.7196969696969697,0.6406165692446043,0.7956242932044824,0.022256263409442867,-0.05070480242947084,0.08736002582559084,-0.04571730944093225,-0.1191799836487033,0.027734644769245455,-0.38109809980250653,-0.44269645636722965,-0.32078762218000073,-0.006640534996446457,-0.06847621741082995,0.0590804282558658,0.022256263409442867,0.5288461538461539,0.035453867574047226,-0.05070480242947084,0.4807692307692308,-0.12442962001058325,0.08736002582559084,0.5769230769230769,0.18031227353040327,0.7697770917843579,0.5290621594373552,1.0361346970934968,-3.250209538483813,-4.4685916949183495,-2.1671643130272265
parakeet-tdt-0.6b-v3,babble,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5649038461538461,0.5144230769230769,0.6129807692307693,0.46187390742570494,0.39645749367325894,0.5304368238416004,0.8529411764705882,0.7843058823529412,0.9142918192918192,0.12555449076165032,0.06445613776236897,0.18080824879073357,-0.003031857294371776,-0.083804903162204,0.07417845857656673,-0.3671953568767986,-0.43341595182006676,-0.30319671911813456,0.004569781126448846,-0.06072925412723545,0.06873647304376826,0.12555449076165032,0.5649038461538461,0.1542786877910602,0.06445613776236897,0.5144230769230769,0.04087466178958601,0.18080824879073357,0.6129807692307693,0.27955499262127215,0.7732052603680453,0.5392198643742654,1.0280041825949997,-3.235793046206349,-4.428538943431438,-2.136206538593234
parakeet-tdt-0.6b-v3,clean,,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5817307692307693,0.53359375,0.6298076923076923,0.4578362573099415,0.38722699475829936,0.5248653314917127,,,,,,,-0.03714867053235185,-0.11544265445957654,0.040673088903849026,-0.4033380482051096,-0.4756977752774054,-0.3366047307656781,,,,,0.5817307692307693,,,0.53359375,,,0.6298076923076923,,0.7657420718105348,0.5338463891449987,1.0348879800216897,-3.223604717159559,-4.472592738911208,-2.1924129944872854
parakeet-tdt-0.6b-v3,clipping,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5432692307692307,0.49278846153846156,0.5913461538461539,0.4199134199134199,0.3562159016512694,0.4834777934556205,0.7540983606557377,0.6790911513859275,0.8333677685950411,0.07278890520156855,0.0044318974949139195,0.13744281323774593,-0.025894827926067066,-0.09980781975873441,0.05139022121763747,-0.3733664576280349,-0.43598131775995913,-0.3128765002859181,0.004792444688190234,-0.05658222435756699,0.0687091365626597,0.07278890520156855,0.5432692307692307,0.17150652356835266,0.0044318974949139195,0.49278846153846156,0.035392349727347255,0.13744281323774593,0.5913461538461539,0.29443671732808663,0.7703827061180275,0.5389586423978656,1.022500321839523,-3.2302928273896105,-4.4350745122758415,-2.1864304187423547
parakeet-tdt-0.6b-v3,clipping,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5673076923076923,0.5192307692307693,0.6129807692307693,0.4539253867926536,0.3888823064770932,0.5209302325581395,0.8725490196078431,0.8061150188230632,0.9306930693069307,0.13838967651776396,0.07417205333047118,0.19657294319010393,-0.01879983436238572,-0.09744052438333076,0.05829438343166324,-0.3873515524972704,-0.4550249123543037,-0.31987172937765224,-0.0015787715071184372,-0.06686198745289265,0.06257799450605507,0.13838967651776396,0.5673076923076923,0.09589372831425552,0.07417205333047118,0.5192307692307693,-0.045738043564954055,0.19657294319010393,0.6129807692307693,0.21688103432486222,0.7708533497250964,0.5382839069043668,1.0297319474087545,-3.2082786807987587,-4.475784581949742,-2.186153804521743
parakeet-tdt-0.6b-v3,clipping,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5841346153846154,0.5384615384615384,0.6322115384615384,0.4563106796116505,0.39013116591928254,0.5257799076460481,0.96875,0.9294087938205585,1.0,0.2099488174265522,0.16541752975811316,0.2513488360398134,-0.041962101305835414,-0.12047320251595244,0.03615265217403181,-0.398435906998056,-0.46700989888629146,-0.3333835124440105,0.005143152380161442,-0.05644438700052516,0.07006899213114008,0.2099488174265522,0.5841346153846154,0.07368206203733163,0.16541752975811316,0.5384615384615384,-0.0007549381250820968,0.2513488360398134,0.6322115384615384,0.1538915934199282,0.7731499889879804,0.5202875644146943,1.0346543981713465,-3.215993867155856,-4.485959514863468,-2.1511692944882865
parakeet-tdt-0.6b-v3,codec,0,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5432692307692307,0.4951923076923077,0.5913461538461539,0.42160570533254094,0.3608520633750921,0.4864890752821787,0.7416666666666667,0.6585365853658537,0.8181818181818182,0.06094473307453718,-0.008440502646281775,0.12921898950496882,-0.03818474490837595,-0.11357364607451687,0.03563663946529438,-0.3838469608310131,-0.44502513675336947,-0.32372459950707344,0.0015173708366685301,-0.0629580365542903,0.06323326247378239,0.06094473307453718,0.5432692307692307,0.05968666588540089,-0.008440502646281775,0.4951923076923077,-0.09506474439536132,0.12921898950496882,0.5913461538461539,0.2005303716709813,0.7711731466305932,0.5239491651931311,1.0267419774403739,-3.2124398917192147,-4.460651495021257,-2.1082161684320906
parakeet-tdt-0.6b-v3,codec,10,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5865384615384616,0.5408653846153846,0.6370192307692307,0.4572146446518306,0.38578680203045684,0.5280951876192495,0.9247311827956989,0.8648578265765766,0.9746914556962024,0.1781134405706815,0.12427007510599741,0.227237755526971,-0.03048121038638099,-0.10639779986271714,0.04781957787713249,-0.3961989748453817,-0.46871930001135603,-0.32787993554172834,0.010541662090062798,-0.051754625080739886,0.07643097673171902,0.1781134405706815,0.5865384615384616,0.1291236683401858,0.12427007510599741,0.5408653846153846,0.04388258726919061,0.227237755526971,0.6370192307692307,0.22556874312017786,0.7707255969957906,0.5392003997475389,1.0170773205889552,-3.214901691110506,-4.443817458258837,-2.1297873274951615
parakeet-tdt-0.6b-v3,codec,20,Qwen/Qwen3.5-27B-GPTQ-Int4,ees,416,0.5865384615384616,0.5384615384615384,0.6322115384615384,0.4744542002847651,0.4062422648514851,0.5454779756326147,0.968421052631579,0.9270833333333334,1.0,0.20918741951752368,0.1599299144200104,0.2521664282365774,-0.010489562775106182,-0.09135358810553192,0.06720024117266313,-0.3825281781722427,-0.4517698597169919,-0.3136146525111909,0.008498493845371602,-0.05473159112092848,0.07168872838730819,0.20918741951752368,0.5865384615384616,0.10239897364053013,0.1599299144200104,0.5384615384615384,0.02733978732119975,0.2521664282365774,0.6322115384615384,0.18592741666999119,0.773908443763595,0.5256014791810775,1.0377522023617154,-3.2386095318795114,-4.480888734995337,-2.1527125973983114
