comparison,role,degradation,snr_db,scope,n_pairs,cascade_rate,omni_rate,gain_pathway,ci_lo,ci_hi,underpowered
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-27B-GPTQ-Int4,confirmatory,reverb,pooled,degradation,880,0.3465909090909091,0.5965909090909091,0.24999999999999994,,,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,babble,0,cell,360,0.21388888888888888,0.42777777777777776,0.21388888888888888,0.16714676996677308,0.26216888158877105,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,babble,10,cell,256,0.359375,0.56640625,0.20703125,0.14566740579841314,0.26470878865380143,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,babble,20,cell,241,0.4066390041493776,0.5892116182572614,0.18257261410788383,0.12862290236110605,0.23694779116465864,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,clean,,anchor,225,0.43555555555555553,0.6222222222222222,0.1866666666666667,0.12930725127866688,0.24675324675324672,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,clipping,0,cell,264,0.39015151515151514,0.625,0.23484848484848486,0.17623982952344053,0.29688284387550196,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,clipping,10,cell,234,0.42735042735042733,0.6196581196581197,0.19230769230769235,0.13557548285376425,0.2521386430678466,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,clipping,20,cell,220,0.45454545454545453,0.6136363636363636,0.15909090909090912,0.09373468137254902,0.2232142857142857,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,codec,0,cell,256,0.39453125,0.63671875,0.2421875,0.1803842686499887,0.30001879699248113,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,codec,10,cell,226,0.4026548672566372,0.6150442477876106,0.2123893805309734,0.15090912756007097,0.2757049629390912,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,codec,20,cell,223,0.4260089686098655,0.600896860986547,0.17488789237668156,0.1162790697674419,0.23637291280148415,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,farfield,0,cell,241,0.4107883817427386,0.6348547717842323,0.22406639004149376,0.1673640915593705,0.2837239768457398,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,farfield,10,cell,230,0.41739130434782606,0.6260869565217392,0.20869565217391312,0.14910652723511839,0.273109243697479,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,farfield,20,cell,223,0.452914798206278,0.6143497757847534,0.16143497757847536,0.10176803659817013,0.2222343522561863,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,noise,0,cell,369,0.21138211382113822,0.46883468834688347,0.2574525745257452,0.20585658791818615,0.30890158770697657,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,noise,10,cell,295,0.37966101694915255,0.5898305084745763,0.21016949152542375,0.15523310095854598,0.2676104082119838,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,noise,20,cell,252,0.3888888888888889,0.5992063492063492,0.2103174603174603,0.1515151515151515,0.26923469387755106,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,reverb,0,cell,357,0.24649859943977592,0.5686274509803921,0.3221288515406162,0.2691189139042129,0.37327540268862763,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,reverb,10,cell,281,0.34519572953736655,0.6192170818505338,0.27402135231316727,0.21327945520183791,0.3345457887700535,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,reverb,20,cell,242,0.4214876033057851,0.6115702479338843,0.19008264462809915,0.12874160889182343,0.25514618523684074,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,babble,pooled,degradation,857,0.3115519253208868,0.514585764294049,0.20303383897316218,,,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,clipping,pooled,degradation,718,0.4220055710306407,0.6197771587743732,0.19777158774373255,,,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,codec,pooled,degradation,705,0.40709219858156026,0.6184397163120567,0.21134751773049648,,,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,farfield,pooled,degradation,694,0.4265129682997118,0.6253602305475504,0.1988472622478386,,,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,noise,pooled,degradation,916,0.314410480349345,0.5436681222707423,0.22925764192139736,,,False
Qwen3-Omni-30B-A3B-Instruct-AWQ-4bit vs Qwen3.5-9B-MLX-8bit,descriptive,reverb,pooled,degradation,880,0.3261363636363636,0.5965909090909091,0.27045454545454545,,,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,babble,0,cell,360,0.225,0.1638888888888889,-0.061111111111111116,-0.107740300100452,-0.01690140845070423,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,babble,10,cell,256,0.453125,0.39453125,-0.05859375,-0.12254179998745217,0.004083326276568757,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,babble,20,cell,241,0.49377593360995853,0.47717842323651455,-0.01659751037344398,-0.07287666591371134,0.03766085932280864,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,clean,,anchor,225,0.52,0.5066666666666667,-0.013333333333333308,-0.07391706924315616,0.04979771784232367,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,clipping,0,cell,264,0.4621212121212121,0.3977272727272727,-0.06439393939393939,-0.12308764940239039,-0.0038744896147700656,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,clipping,10,cell,234,0.5128205128205128,0.47435897435897434,-0.038461538461538436,-0.10506903741647372,0.02532184217613789,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,clipping,20,cell,220,0.5318181818181819,0.5045454545454545,-0.027272727272727337,-0.09569869568067123,0.0357142857142857,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,codec,0,cell,256,0.46875,0.390625,-0.078125,-0.14341207928564423,-0.014928629985051144,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,codec,10,cell,226,0.4823008849557522,0.47345132743362833,-0.008849557522123852,-0.07296137339055786,0.05267942583732037,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,codec,20,cell,223,0.5022421524663677,0.484304932735426,-0.0179372197309417,-0.08585007803355439,0.04485833673053397,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,farfield,0,cell,241,0.4854771784232365,0.4066390041493776,-0.07883817427385892,-0.1383962391774892,-0.01592544550480254,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,farfield,10,cell,230,0.5,0.4652173913043478,-0.034782608695652195,-0.09805460300712211,0.032560512577123876,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,farfield,20,cell,223,0.5426008968609866,0.49327354260089684,-0.04932735426008972,-0.1096026190332509,0.009577668293145108,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,noise,0,cell,369,0.23577235772357724,0.23035230352303523,-0.005420054200542007,-0.05882747200756977,0.047751724137931,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,noise,10,cell,295,0.4406779661016949,0.41694915254237286,-0.02372881355932205,-0.0847582661850514,0.0385883207136189,False
