asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered,n_calibrated,mean_observed,mean_predicted,gain_calibrated,share_at_high_wer,n_clean_at_high_wer,refused
parakeet-tdt-0.6b-v3,farfield,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,221,195,1,0.16074765677070518,0.09545454545454546,0.3025838245095633,0.6105769230769231,0.7589743589743589,0.4796380090497738,0.8392523432292949,0.5293209947312032,-0.3596143341795211,-0.049682985681429426,121,0,0.26037171384764957,0.8016528925619835,0.7396282861523504,0.06202460640963303,False,416,0.6105769230769231,0.6264582838030817,-0.015881360726158533,0.03365384615384615,8,
parakeet-tdt-0.6b-v3,farfield,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,204,212,1,0.14199507384426766,0.0,0.2895585819569386,0.6322115384615384,0.7641509433962265,0.4950980392156863,0.8580049261557323,0.5428844798253583,-0.362906886940046,-0.047786440609671965,106,0,0.2594420724484541,0.9056603773584906,0.7405579275515459,0.16510244980694466,False,416,0.6322115384615384,0.6392618794391443,-0.007050340977605818,0.021634615384615384,8,
parakeet-tdt-0.6b-v3,farfield,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,199,217,1,0.1370241914006053,0.0,0.28644253076709514,0.6394230769230769,0.7695852534562212,0.49748743718592964,0.8629758085993947,0.5491433058151849,-0.3654883714134651,-0.05165586862925525,101,0,0.23626652904463025,0.9504950495049505,0.7637334709553698,0.18676157854958064,False,416,0.6394230769230769,0.6425865717412265,-0.0031634948181495925,0.021634615384615384,8,
parakeet-tdt-0.6b-v3,noise,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,349,67,25,0.44753448667494394,0.3875,0.5334508494463519,0.33653846153846156,0.7611940298507462,0.25501432664756446,0.552465513325056,0.3551344280333739,-0.29745118667749154,-0.10012010138580946,218,0,0.49983045101132423,0.38073394495412843,0.5001695489886757,-0.11943560403454728,False,416,0.33653846153846156,0.4287762140362792,-0.09223775249781763,0.21875,8,
parakeet-tdt-0.6b-v3,noise,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,278,138,5,0.2547502947226095,0.16666666666666666,0.3812090741172868,0.5408653846153846,0.7463768115942029,0.43884892086330934,0.7452497052773905,0.4618511983037642,-0.3064007844140812,-0.023002277440454855,168,0,0.3491500487243525,0.6607142857142857,0.6508499512756475,0.009864334438638211,False,416,0.5408653846153846,0.5594656823721855,-0.018600297756800943,0.07211538461538461,8,
parakeet-tdt-0.6b-v3,noise,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,228,188,2,0.16465495705167707,0.1111111111111111,0.3004230795328851,0.6225961538461539,0.7659574468085106,0.5043859649122807,0.8353450429483229,0.5358461518471519,-0.3309590780360422,-0.03146018693487118,128,0,0.25493137709571767,0.828125,0.7450686229042823,0.08305637709571767,False,416,0.6225961538461539,0.6223992492239294,0.0001969046222244364,0.021634615384615384,8,
parakeet-tdt-0.6b-v3,reverb,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,328,88,13,0.3545824242787059,0.2857142857142857,0.4497142942071397,0.4326923076923077,0.8068181818181818,0.3323170731707317,0.6454175757212941,0.44398051262833044,-0.3131005025505624,-0.11166343945759871,197,0,0.4127126059843607,0.49238578680203043,0.5872873940156393,-0.09490160721360891,False,416,0.4326923076923077,0.490136868136292,-0.05744456044398427,0.13221153846153846,8,
parakeet-tdt-0.6b-v3,reverb,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,262,154,3,0.22324714420228217,0.14285714285714285,0.3544687480463722,0.5721153846153846,0.7922077922077922,0.44274809160305345,0.7767528557977178,0.5113948879113156,-0.33400476419466435,-0.06864679630826215,148,0,0.31612659635105483,0.7027027027027027,0.6838734036489451,0.01882929905375763,False,416,0.5721153846153846,0.5813838015574883,-0.009268416942103674,0.05048076923076923,8,
parakeet-tdt-0.6b-v3,reverb,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,219,197,1,0.1645624536100689,0.09090909090909091,0.3125935191862502,0.6153846153846154,0.766497461928934,0.4794520547945205,0.8354375463899311,0.5268953228572396,-0.35598549159541054,-0.04744326806271909,122,0,0.27844700667494143,0.8114754098360656,0.7215529933250586,0.08992241651100696,False,416,0.6153846153846154,0.6228086383199136,-0.007424022935298202,0.028846153846153848,8,
whisper-base-mlx,babble,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,406,10,133,0.7896971521989194,1.0,0.809147820972292,0.1201923076923077,0.8,0.10344827586206896,0.21030284780108055,0.15268174322216643,-0.10685457193901159,-0.04923346736009747,212,0,0.7737470573728898,0.16981132075471697,0.22625294262711015,-0.05644162187239318,False,416,0.1201923076923077,0.16889366382852045,-0.04870135613621275,0.6346153846153846,31,
